"","1","2","3"
"[0,5)",0.0322634307188283,NA,NA
"[5,10)",0.0801955651599805,NA,NA
"[10,15)",0.0251661147842357,0.0147162311859205,NA
"[15,20)",NA,0.0201769560912829,NA
"[20,25)",NA,0.00669825172786596,NA
"[25,30)",NA,0.00788026636094831,NA
"[30,35)",NA,0.00795737172766878,NA
"[35,40)",NA,0.00841244499353374,NA
"[40,45)",NA,0.00839169971769533,NA
"[45,50)",NA,0.00790532557799949,NA
"[50,55)",NA,0.00711411157112433,NA
"[55,60)",NA,0.00636234399230636,NA
"[60,65)",NA,0.00654801698673857,NA
"[65,70)",NA,0.00637777317533256,NA
"[70,75)",NA,0.00732399388835818,NA
"[75,80)",NA,0.00693627335908042,NA
"[80,85)",NA,0.00725574679830311,NA
"[85,90)",NA,0.00891692397875387,NA
"[90,95)",NA,0.00896750251249605,NA
"[95,100)",NA,0.00818350151033754,NA
"[100,105)",NA,0.00874535477911408,NA
"[105,110)",NA,0.00997081989694174,NA
"[110,115)",NA,0.00939605467788067,NA
"[115,120)",NA,0.00951563259492458,NA
"[120,125)",NA,0.00978280643135954,NA
"[125,130)",NA,0.0104144869514315,NA
"[130,135)",NA,0.0106441134252967,NA
"[135,140)",NA,0.0096282897081445,NA
"[140,145)",NA,0.00990456496044269,NA
"[145,150)",NA,0.00977355554850436,NA
"[150,155)",NA,0.0103183168051549,NA
"[155,160)",NA,0.0097090542415692,NA
"[160,165)",NA,0.0101837482825265,NA
"[165,170)",NA,0.0101101163304114,NA
"[170,175)",NA,0.00959373759256648,NA
"[175,180)",NA,0.010009041593167,NA
"[180,185)",NA,0.00821191509485467,NA
"[185,190)",NA,0.00839163752908696,NA
"[190,195)",NA,0.00857298988601457,NA
"[195,200)",NA,0.00833589704154147,NA
"[200,205)",NA,0.00833491617712999,NA
"[205,210)",NA,0.00839169971769533,NA
"[210,215)",NA,0.00968756610983992,NA
"[215,220)",NA,0.00775498937071224,NA
"[220,225)",NA,0.0087634370561233,NA
"[225,230)",NA,0.0080846339039752,NA
"[230,235)",NA,0.00760572994500735,NA
"[235,240)",NA,0.00756398904998273,NA
"[240,245)",NA,0.00758190614350263,NA
"[245,250)",NA,0.0075060193405244,NA
"[250,255)",NA,0.00758190614350263,NA
"[255,260)",NA,0.00784464540552736,NA
"[260,265)",NA,0.00860458577892952,NA
"[265,270)",NA,0.00755501456900953,NA
"[270,275)",NA,0.00611217320101921,NA
"[275,280)",NA,0.00712852374730213,NA
"[280,285)",NA,0.00788600372345642,NA
"[285,290)",NA,0.00718227551581546,NA
"[290,295)",NA,0.00634454719103342,NA
"[295,300)",NA,0.00581253966590404,NA
"[300,305)",NA,0.00694684867171166,NA
"[305,310)",NA,0.00820625720670864,NA
"[310,315)",NA,0.00778498944161524,NA
"[315,320)",NA,0.00770825852039547,NA
"[320,325)",NA,0.00788600372345639,NA
"[325,330)",NA,0.00871945790621182,NA
"[330,335)",NA,0.00745861490009712,NA
"[335,340)",NA,0.00604566923922537,NA
"[340,345)",NA,0.00582808124355311,NA
"[345,350)",NA,0.00686364022291063,NA
"[350,355)",NA,0.00879691981782949,NA
"[355,360)",NA,0.00756697817835471,NA
"[360,365)",NA,0.00759978099615427,NA
"[365,370)",NA,0.00519323569364014,NA
"[370,375)",NA,0.00752802693320174,NA
"[375,380)",NA,0.00705621781057036,NA
"[380,385)",NA,0.00920641233280419,NA
"[385,390)",NA,0.00869868489777048,NA
"[390,395)",NA,0.0090152892896974,NA
"[395,400)",NA,0.00958826010988078,NA
"[400,405)",NA,0.0110281084889049,NA
"[405,410)",NA,0.0120420785170854,NA
"[410,415)",NA,0.00943208723248893,NA
"[415,420)",NA,0.00959609448674086,NA
"[420,425)",NA,0.0124570723765087,NA
"[425,430)",NA,0.0102475194565151,NA
"[430,440)",NA,0.012162041056175,NA
"[440,445)",NA,0.00501016605590426,NA
"[445,450)",NA,0.00502368879589961,NA
"[450,455)",NA,0.00501016605590426,NA
"[455,460)",NA,0.00500116536535797,NA
"[460,465)",NA,0.00502368879589961,NA
"[465,470)",NA,0.00500116536535797,NA
"[470,475)",NA,0.00612326272909886,NA
"[475,480)",NA,0.00743736091660808,NA
"[480,485)",NA,0.00720884425893115,NA
"[485,490)",NA,0.00754782730126337,NA
"[490,495)",NA,0.00785151666145595,NA
"[495,500)",NA,0.00788761384795506,NA
"[500,505)",NA,0.00849348594409782,NA
"[505,510)",NA,0.00818156690905178,NA
"[510,515)",NA,0.00934295556203189,NA
"[515,520)",NA,0.00782679635986146,NA
"[520,525)",NA,0.0104792444167461,NA
"[525,530)",NA,0.0104535826048962,NA
"[530,535)",NA,0.00984042741751513,NA
"[535,540)",NA,0.0101436984290736,NA
"[540,545)",NA,0.00985650093001797,NA
"[545,550)",NA,0.00882885711452597,NA
"[550,555)",NA,0.0099387541023606,NA
"[555,560)",NA,0.00990514452756175,NA
"[560,565)",NA,0.0104381619014363,NA
"[565,570)",NA,0.0094679826580346,NA
"[570,575)",NA,0.00991369359368038,NA
"[575,580)",NA,0.0105479259221299,NA
"[580,585)",NA,0.0100090415931671,NA
"[585,590)",NA,0.00972944010012923,NA
"[590,595)",NA,0.00927005752576434,NA
"[595,600)",NA,0.00967354985059229,NA
"[600,605)",NA,0.00829411849615271,NA
"[605,610)",NA,0.00857165056877575,NA
"[610,615)",NA,0.00902782271614369,NA
"[615,620)",NA,0.00994272642979824,NA
"[620,625)",NA,0.00856771257564301,NA
"[625,630)",NA,0.00701862406343584,0.0115387897972783
"[630,640)",NA,NA,0.00985021104103725
"[640,650)",NA,NA,0.0109541391596969
"[650,655)",NA,NA,0.0130233065267655
"[655,Inf)",NA,NA,0.0276330772177429
