"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,8755,0,1,0,1,1
"2",1,8437,0,1,0,1,1
"3",2,7637,0,1,0,1,1
"4",3,6837,0,1,0,1,1
"5",4,6037,0,1,0,1,1
"6",5,5237,0,1,0,1,1
"7",6,4437,0,1,0,1,1
"8",7,3637,0,1,0,1,1
"9",8,2837,0,1,0,1,1
"10",9,2037,0,1,0,1,1
"11",10,1237,1,0.999191592562652,0.000808080609990272,0.997609038247554,1
"12",11,437,236,0.459582402986483,0.0238250324033707,0.415180152235888,0.508733339003223
"13",0,8864,0,1,0,1,1
"14",1,8628,0,1,0,1,1
"15",2,7828,0,1,0,1,1
"16",3,7028,0,1,0,1,1
"17",4,6228,0,1,0,1,1
"18",5,5428,0,1,0,1,1
"19",6,4628,0,1,0,1,1
"20",7,3828,0,1,0,1,1
"21",8,3028,0,1,0,1,1
"22",9,2228,0,1,0,1,1
"23",10,1428,0,1,0,1,1
"24",11,628,311,0.504777070063694,0.0199512614578758,0.467149583063384,0.545435337416358
"25",0,8751,0,1,0,1,1
"26",1,8613,0,1,0,1,1
"27",2,7813,0,1,0,1,1
"28",3,7013,0,1,0,1,1
"29",4,6213,0,1,0,1,1
"30",5,5413,0,1,0,1,1
"31",6,4613,0,1,0,1,1
"32",7,3813,0,1,0,1,1
"33",8,3013,0,1,0,1,1
"34",9,2213,0,1,0,1,1
"35",10,1413,0,1,0,1,1
"36",11,613,306,0.500815660685155,0.0201947829217236,0.462758317204356,0.542002848274571
"37",0,8664,0,1,0,1,1
"38",1,8613,0,1,0,1,1
"39",2,7813,0,1,0,1,1
"40",3,7013,0,1,0,1,1
"41",4,6213,0,1,0,1,1
"42",5,5413,0,1,0,1,1
"43",6,4613,0,1,0,1,1
"44",7,3813,0,1,0,1,1
"45",8,3013,0,1,0,1,1
"46",9,2213,0,1,0,1,1
"47",10,1413,0,1,0,1,1
"48",11,613,259,0.577487765089723,0.0199508223391621,0.539679359217972,0.61794492068693
