"","1","2","3"
"[0,5)",0.0499429874386985,NA,NA
"[5,10)",0.0390828768691331,NA,NA
"[10,15)",0.031855585461943,NA,NA
"[15,20)",0.0303920739818713,NA,NA
"[20,25)",0.0286132698554824,NA,NA
"[25,30)",0.0252003466496866,NA,NA
"[30,35)",0.0327213944564166,NA,NA
"[35,40)",0.03110974271758,NA,NA
"[40,45)",0.0294177208303188,NA,NA
"[45,50)",0.0285270591447538,NA,NA
"[50,55)",0.0271246590105163,NA,NA
"[55,60)",0.0246502630407933,NA,NA
"[60,65)",0.0225806345675064,NA,NA
"[65,70)",0.0353650909114117,NA,NA
"[70,75)",0.0282456384589555,NA,NA
"[75,80)",0.0207850837004208,NA,NA
"[80,85)",0.0295249748167723,NA,NA
"[85,90)",0.0271564221569746,NA,NA
"[90,95)",0.0284968237794538,NA,NA
"[95,100)",0.0221177621449109,NA,NA
"[100,105)",0.0274929458037061,NA,NA
"[105,110)",0.0251253017529609,NA,NA
"[110,115)",0.0326405008976666,NA,NA
"[115,120)",0.0292118697336089,NA,NA
"[120,125)",0.0272071660607545,NA,NA
"[125,130)",0.0409148260231636,NA,NA
"[130,135)",0.0279646152205515,NA,NA
"[135,140)",0.0266716949282348,NA,NA
"[140,145)",0.0207917976753986,NA,NA
"[145,150)",0.0324568679305639,NA,NA
"[150,155)",0.0304393121495531,NA,NA
"[155,160)",0.0269610191150879,NA,NA
"[160,165)",0.0318328970301688,NA,NA
"[165,170)",0.0299671412825822,NA,NA
"[170,175)",0.0265659015739497,NA,NA
"[175,180)",0.0257418662524868,NA,NA
"[180,185)",0.0209980842038002,NA,NA
"[185,190)",0.0254251210736389,NA,NA
"[190,195)",0.0223000143586072,NA,NA
"[195,200)",0.0304374240304464,NA,NA
"[200,205)",0.0264553408118524,NA,NA
"[205,210)",0.0263072036810688,NA,NA
"[210,215)",0.0269524911948635,NA,NA
"[215,220)",0.0258754754523479,NA,NA
"[220,225)",0.0245979159943351,NA,NA
"[225,230)",0.0295533249360935,NA,NA
"[230,235)",0.0250631386609944,NA,NA
"[235,240)",0.0275096639237088,NA,NA
"[240,245)",0.0303920739818714,NA,NA
"[245,250)",0.0245160046247064,NA,NA
"[250,255)",0.027099221687937,NA,NA
"[255,260)",0.0353699658291979,NA,NA
"[260,265)",0.0341884567465782,NA,NA
"[265,270)",0.0357272554446769,NA,NA
"[270,275)",0.0252345320779959,NA,NA
"[275,280)",0.029534705865722,NA,NA
"[280,285)",0.0237225340275792,NA,NA
"[285,290)",0.0323060081241793,NA,NA
"[290,295)",0.0285994936053553,NA,NA
"[295,300)",0.0315018179161093,NA,NA
"[300,305)",0.0254522315712007,NA,NA
"[305,310)",0.0297518472332914,NA,NA
"[310,315)",0.0223966335729792,NA,NA
"[315,320)",0.0305053226936494,NA,NA
"[320,325)",0.0308667883118677,NA,NA
"[325,330)",0.0272409428162323,NA,NA
"[330,335)",0.0290639406082203,NA,NA
"[335,340)",0.0290065390962939,NA,NA
"[340,345)",0.0233021137613549,NA,NA
"[345,350)",0.0298367204139039,NA,NA
"[350,355)",0.0307922217376439,NA,NA
"[355,360)",0.0252036044024828,NA,NA
"[360,365)",0.0248420296429582,NA,NA
"[365,370)",0.0301414290823517,NA,NA
"[370,375)",0.0331766432173663,NA,NA
"[375,380)",0.0310376115919594,NA,NA
"[380,385)",0.0317243878051129,NA,NA
"[385,390)",0.0322864335767122,NA,NA
"[390,395)",0.0301357083795989,NA,NA
"[395,400)",0.0269204874338887,NA,NA
"[400,405)",0.0278831717056689,NA,NA
"[405,410)",0.0288447517658498,NA,NA
"[410,415)",0.0304449758042955,NA,NA
"[415,420)",0.0323721055289005,0.0413191569041857,NA
"[420,425)",NA,0.0345146978520179,NA
"[425,430)",NA,0.0269204874338887,NA
"[430,440)",NA,0.0293676288984767,NA
"[440,445)",NA,0.0269716752236085,NA
"[445,450)",NA,0.0275832818646304,NA
"[450,455)",NA,0.028478667152074,NA
"[455,460)",NA,0.028861824718967,NA
"[460,465)",NA,0.0370166163372271,NA
"[465,470)",NA,0.03137463650932,NA
"[470,475)",NA,0.0266177712651987,NA
"[475,480)",NA,0.0305773669477627,NA
"[480,485)",NA,0.0300210654010828,NA
"[485,490)",NA,0.0273357161843319,NA
"[490,495)",NA,0.0223581094341911,NA
"[495,500)",NA,0.0280437729624678,NA
"[500,505)",NA,0.0372395167690908,NA
"[505,510)",NA,0.0352925842417788,NA
"[510,515)",NA,0.0253730783203039,NA
