"","1","2","3"
"[0,5)",0.0521908016936008,NA,NA
"[5,10)",0.0725010616535144,0.0449924918661361,NA
"[10,15)",NA,0.0201901857391385,NA
"[15,20)",NA,0.011834129458757,NA
"[20,25)",NA,0.0098312307543682,NA
"[25,30)",NA,0.00974110827429698,NA
"[30,35)",NA,0.00478388671890384,NA
"[35,40)",NA,0.00475016868796295,NA
"[40,45)",NA,0.00496937705118046,NA
"[45,50)",NA,0.0048473192072015,NA
"[50,55)",NA,0.00610106351621974,NA
"[55,60)",NA,0.0174790693464887,NA
"[60,65)",NA,0.016882813700987,NA
"[65,70)",NA,0.0207779917635209,NA
"[70,75)",NA,0.0144411969119481,NA
"[75,80)",NA,0.00870656050367743,NA
"[80,85)",NA,0.00869868489777053,NA
"[85,90)",NA,0.00851475958028682,NA
"[90,95)",NA,0.0125906931520049,NA
"[95,100)",NA,0.0213096824026677,NA
"[100,105)",NA,0.0216975217796748,NA
"[105,110)",NA,0.054198443375874,0.048096298903907
"[110,Inf)",NA,NA,0.0285761997173067
