"","1","2","3"
"[0,5)",0.0883534877512722,NA,NA
"[5,10)",0.096417652099414,0.0594095526787986,NA
"[10,15)",NA,0.0194822165485941,NA
"[15,20)",NA,0.00996029413257757,NA
"[20,25)",NA,0.012874863051618,NA
"[25,30)",NA,0.00478388671890384,NA
"[30,35)",NA,0.00487287510660948,NA
"[35,40)",NA,0.00502905312075509,NA
"[40,45)",NA,0.00820916080495844,NA
"[45,50)",NA,0.0189638350453446,NA
"[50,55)",NA,0.019604871139864,NA
"[55,60)",NA,0.0152084862882094,NA
"[60,65)",NA,0.0156972717988423,NA
"[65,70)",NA,0.019234778136924,NA
"[70,75)",NA,0.0832722180266742,0.0717635004720366
"[75,80)",NA,NA,0.0593117086912761
"[80,Inf)",NA,NA,0.0365248673381017
