"","1","2","3"
"[0,5)",0.106189408493458,0.0984462628374825,NA
"[5,10)",NA,0.0586334272226926,NA
"[10,15)",NA,0.012054827258996,NA
"[15,20)",NA,0.014066939534909,NA
"[20,25)",NA,0.00584745012793129,NA
"[25,30)",NA,0.00612326272909882,NA
"[30,35)",NA,0.00473160223407389,NA
"[35,40)",NA,0.00822328265489992,NA
"[40,45)",NA,0.0145332943289697,NA
"[45,50)",NA,0.0126205146201488,NA
"[50,55)",NA,0.00858353477300916,NA
"[55,60)",NA,0.00990456496044275,NA
"[60,65)",NA,0.0183451505847564,NA
"[65,70)",NA,0.022701570548341,NA
"[70,75)",NA,0.064000508817516,NA
"[75,80)",NA,0.134350288425444,0.0456389275328552
"[80,Inf)",NA,NA,0.027243490822723
