"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,5047,0,1,0,1,1
"2",1,4687,0,1,0,1,1
"3",2,4327,0,1,0,1,1
"4",3,3967,0,1,0,1,1
"5",4,3607,32,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"6",5,3432,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"7",6,3432,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"8",7,3432,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"9",8,3432,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"10",9,3432,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"11",10,3432,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"12",11,3432,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"13",12,3432,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"14",13,3432,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"15",14,3432,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"16",15,3240,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"17",16,2880,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"18",17,2520,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"19",18,2160,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"20",19,1800,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"21",20,1440,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"22",21,1080,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"23",22,720,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"24",23,360,0,0.991128361519268,0.00156132674377642,0.988072936627311,0.99419323472311
"25",0,5596,0,1,0,1,1
"26",1,5244,0,1,0,1,1
"27",2,4892,0,1,0,1,1
"28",3,4540,0,1,0,1,1
"29",4,4188,0,1,0,1,1
"30",5,3836,0,1,0,1,1
"31",6,3484,0,1,0,1,1
"32",7,3131,0,1,0,1,1
"33",8,2779,0,1,0,1,1
"34",9,2427,54,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"35",10,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"36",11,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"37",12,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"38",13,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"39",14,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"40",15,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"41",16,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"42",17,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"43",18,2112,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"44",19,1760,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"45",20,1408,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"46",21,1056,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"47",22,704,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"48",23,352,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"49",0,8125,0,1,0,1,1
"50",1,7956,0,1,0,1,1
"51",2,7156,0,1,0,1,1
"52",3,6356,0,1,0,1,1
"53",4,5556,0,1,0,1,1
"54",5,4756,0,1,0,1,1
"55",6,3956,0,1,0,1,1
"56",7,3156,0,1,0,1,1
"57",8,2356,0,1,0,1,1
"58",9,1556,0,1,0,1,1
"59",10,756,96,0.873015873015873,0.0121094631803456,0.849601479324728,0.897075550225545
"60",0,9722,0,1,0,1,1
"61",1,9244,0,1,0,1,1
"62",2,8444,0,1,0,1,1
"63",3,7644,0,1,0,1,1
"64",4,6844,0,1,0,1,1
"65",5,6044,0,1,0,1,1
"66",6,5244,0,1,0,1,1
"67",7,4444,0,1,0,1,1
"68",8,3644,0,1,0,1,1
"69",9,2844,0,1,0,1,1
"70",10,2044,0,1,0,1,1
"71",11,1244,0,1,0,1,1
"72",12,444,254,0.427927927927928,0.0234811413896822,0.384294118874172,0.476516039426169
"73",0,502,0,1,0,1,1
"74",1,168,29,0.827380952380952,0.029156975806884,0.772163205367031,0.886547345955732
"75",0,838,0,1,0,1,1
"76",1,517,0,1,0,1,1
"77",2,157,27,0.828025477707006,0.0301164709336501,0.771053090658323,0.889207500804557
"78",0,1074,0,1,0,1,1
"79",1,318,33,0.89622641509434,0.017101677800426,0.863326796566128,0.930379770797868
"80",0,1499,0,1,0,1,1
"81",1,1113,0,1,0,1,1
"82",2,313,18,0.942492012779553,0.0131592383790482,0.917050080994797,0.968639785942391
