"","1","2","3"
"[0,5)",0.024997354357366,NA,NA
"[5,10)",0.0324682489844806,NA,NA
"[10,15)",0.0419677295380707,NA,NA
"[15,20)",0.023156141659433,NA,NA
"[20,25)",0.0201125863337428,NA,NA
"[25,30)",0.0161122906915821,NA,NA
"[30,35)",0.0145497734151685,0.0160255477852764,NA
"[35,40)",NA,0.0120956776874721,NA
"[40,45)",NA,0.00846244073691549,NA
"[45,50)",NA,0.00712312545559587,NA
"[50,55)",NA,0.00558415577316082,NA
"[55,60)",NA,0.00568031775979279,NA
"[60,65)",NA,0.0055065942873215,NA
"[65,70)",NA,0.00483725281314981,NA
"[70,75)",NA,0.00486373457113927,NA
"[75,80)",NA,0.00454858826147353,NA
"[80,85)",NA,0.00461414375379074,NA
"[85,90)",NA,0.00568031775979277,NA
"[90,95)",NA,0.00824360292877523,NA
"[95,100)",NA,0.00768851744438487,NA
"[100,105)",NA,0.00715421523990746,NA
"[105,110)",NA,0.0072090528746676,NA
"[110,115)",NA,0.0127759855373905,NA
"[115,120)",NA,0.00950758058971623,NA
"[120,125)",NA,0.00501610310127113,NA
"[125,130)",NA,0.00470823615430769,NA
"[130,135)",NA,0.0044480272297458,NA
"[135,140)",NA,0.00506120178878487,NA
"[140,145)",NA,0.0150411621605443,NA
"[145,150)",NA,0.0170986704752067,NA
"[150,155)",NA,0.0219236210807048,NA
"[155,160)",NA,0.060084095417735,NA
"[160,165)",NA,0.0283488256190357,NA
"[165,170)",NA,0.0317979733805649,0.0225890052435856
"[170,Inf)",NA,NA,0.0269157300056887
