"","1","2","3"
"[0,5)",0.0287550317657945,NA,NA
"[5,10)",0.0303469267075124,NA,NA
"[10,15)",0.0432024491539916,NA,NA
"[15,20)",0.023156141659433,NA,NA
"[20,25)",0.0201125863337428,NA,NA
"[25,30)",0.0161122906915821,NA,NA
"[30,35)",0.0131900907738973,NA,NA
"[35,40)",0.00710161252342738,0.0167616341969503,NA
"[40,45)",NA,0.00846244073691549,NA
"[45,50)",NA,0.00712312545559587,NA
"[50,55)",NA,0.00558415577316082,NA
"[55,60)",NA,0.00568031775979279,NA
"[60,65)",NA,0.0055065942873215,NA
"[65,70)",NA,0.00470823615430769,NA
"[70,75)",NA,0.00461414375379074,NA
"[75,80)",NA,0.00470823615430769,NA
"[80,85)",NA,0.00773207257056986,NA
"[85,90)",NA,0.00779983579465908,NA
"[90,95)",NA,0.00715421523990746,NA
"[95,100)",NA,0.00760800718973204,NA
"[100,105)",NA,0.0102862263057402,NA
"[105,110)",NA,0.0116178900605112,NA
"[110,115)",NA,0.00486373457113931,NA
"[115,120)",NA,0.00470823615430769,NA
"[120,125)",NA,0.00461414375379074,NA
"[125,130)",NA,0.00483725281314986,NA
"[130,135)",NA,0.00508000508000774,NA
"[135,140)",NA,0.0192533024484741,NA
"[140,145)",NA,0.0207130938795853,NA
"[145,150)",NA,0.045675013919557,NA
"[150,155)",NA,0.0150197003248887,NA
"[155,160)",NA,0.0225034206485747,NA
"[160,165)",NA,0.0225665086317746,NA
"[165,170)",NA,0.0220513885336896,0.0184390889145858
"[170,Inf)",NA,NA,0.0347719845434641
