"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,9722,0,1,0,1,1
"2",1,9244,0,1,0,1,1
"3",2,8444,0,1,0,1,1
"4",3,7644,0,1,0,1,1
"5",4,6844,0,1,0,1,1
"6",5,6044,0,1,0,1,1
"7",6,5244,0,1,0,1,1
"8",7,4444,0,1,0,1,1
"9",8,3644,0,1,0,1,1
"10",9,2844,0,1,0,1,1
"11",10,2044,0,1,0,1,1
"12",11,1244,0,1,0,1,1
"13",12,444,254,0.427927927927928,0.0234811413896822,0.384294118874172,0.476516039426169
"14",0,9731,0,1,0,1,1
"15",1,9352,0,1,0,1,1
"16",2,8552,0,1,0,1,1
"17",3,7752,0,1,0,1,1
"18",4,6952,0,1,0,1,1
"19",5,6152,0,1,0,1,1
"20",6,5352,0,1,0,1,1
"21",7,4552,0,1,0,1,1
"22",8,3752,0,1,0,1,1
"23",9,2952,0,1,0,1,1
"24",10,2152,0,1,0,1,1
"25",11,1352,0,1,0,1,1
"26",12,552,241,0.563405797101449,0.0211096046248275,0.523514383599009,0.606336907164436
"27",0,9720,0,1,0,1,1
"28",1,9411,0,1,0,1,1
"29",2,8611,0,1,0,1,1
"30",3,7811,0,1,0,1,1
"31",4,7011,0,1,0,1,1
"32",5,6211,0,1,0,1,1
"33",6,5411,0,1,0,1,1
"34",7,4611,0,1,0,1,1
"35",8,3811,0,1,0,1,1
"36",9,3011,0,1,0,1,1
"37",10,2211,0,1,0,1,1
"38",11,1411,0,1,0,1,1
"39",12,611,253,0.585924713584288,0.0199269099648046,0.548141921442528,0.626311830128514
"40",0,9723,0,1,0,1,1
"41",1,9498,0,1,0,1,1
"42",2,8698,0,1,0,1,1
"43",3,7898,0,1,0,1,1
"44",4,7098,0,1,0,1,1
"45",5,6298,0,1,0,1,1
"46",6,5498,0,1,0,1,1
"47",7,4698,0,1,0,1,1
"48",8,3898,0,1,0,1,1
"49",9,3098,0,1,0,1,1
"50",10,2298,0,1,0,1,1
"51",11,1498,0,1,0,1,1
"52",12,698,248,0.644699140401146,0.018115443188103,0.610153523377465,0.681200658046266
