"","1","2","3"
"[0,5)",0.0518931226162329,NA,NA
"[5,10)",0.0450146474426159,0.0208166599946611,NA
"[10,15)",NA,0.0274739299148496,NA
"[15,20)",NA,0.0157995898562917,NA
"[20,25)",NA,0.0117045646656232,NA
"[25,30)",NA,0.0114090904586086,NA
"[30,35)",NA,0.0112755062885181,NA
"[35,40)",NA,0.0112990706551023,NA
"[40,45)",NA,0.011574391171092,NA
"[45,50)",NA,0.0115358971509337,NA
"[50,55)",NA,0.013021569970117,NA
"[55,60)",NA,0.0157044733736573,NA
"[60,65)",NA,0.0140265303960924,NA
"[65,70)",NA,0.0109501945145626,NA
"[70,75)",NA,0.0111747761449858,NA
"[75,80)",NA,0.0111996087177737,NA
"[80,85)",NA,0.0111747761449858,NA
"[85,90)",NA,0.0117238695850018,NA
"[90,95)",NA,0.0109870200133752,NA
"[95,100)",NA,0.0114984543402341,NA
"[100,105)",NA,0.0110629137075858,NA
"[105,110)",NA,0.0113186522215273,NA
"[110,115)",NA,0.0113195435834681,NA
"[115,120)",NA,0.0111240690309172,NA
"[120,125)",NA,0.0119530969400659,NA
"[125,130)",NA,0.0198696216572401,NA
"[130,135)",NA,0.0196820038471944,NA
"[135,140)",NA,0.0216886207582748,NA
"[140,145)",NA,0.0167321193301161,NA
"[145,150)",NA,0.0134504131441912,NA
"[150,155)",NA,0.0119189938835767,NA
"[155,160)",NA,0.0131132773156842,NA
"[160,165)",NA,0.0158135335268608,NA
"[165,170)",NA,0.0268036980366185,NA
"[170,175)",NA,0.0266372519814878,NA
"[175,180)",NA,0.0400998753115269,0.0227841534198404
"[180,Inf)",NA,NA,0.0309775065382939
