"","1","2","3"
"[0,5)",0.0460624427693514,NA,NA
"[5,10)",0.0621443415921288,0.0139044357430762,NA
"[10,15)",NA,0.0189287984835476,NA
"[15,20)",NA,0.0080846339039752,NA
"[20,25)",NA,0.00668134972836124,NA
"[25,30)",NA,0.00678879540880913,NA
"[30,35)",NA,0.00814555509726655,NA
"[35,40)",NA,0.00741855545473412,NA
"[40,45)",NA,0.00850678820118228,NA
"[45,50)",NA,0.00843596474420688,NA
"[50,55)",NA,0.00815110573170783,NA
"[55,60)",NA,0.00769735074573976,NA
"[60,65)",NA,0.00654801698673857,NA
"[65,70)",NA,0.00655797171440941,NA
"[70,75)",NA,0.00677545788038859,NA
"[75,80)",NA,0.00638507875982995,NA
"[80,85)",NA,0.00782555162619122,NA
"[85,90)",NA,0.00834305177318797,NA
"[90,95)",NA,0.00783421619975448,NA
"[95,100)",NA,0.00818919636246054,NA
"[100,105)",NA,0.00812888045317317,NA
"[105,110)",NA,0.0079097473135431,NA
"[110,115)",NA,0.0068253392253044,NA
"[115,120)",NA,0.00722138138885312,NA
"[120,125)",NA,0.00724326915055185,NA
"[125,130)",NA,0.00809759813593487,NA
"[130,135)",NA,0.00789746594422022,NA
"[135,140)",NA,0.00588348405414561,NA
"[140,145)",NA,0.00604520884481146,NA
"[145,150)",NA,0.00832948803186057,NA
"[150,155)",NA,0.00814555509726655,NA
"[155,160)",NA,0.00823885840871099,NA
"[160,165)",NA,0.00766496549666915,NA
"[165,170)",NA,0.00638325314756669,NA
"[170,175)",NA,0.00652726252252744,NA
"[175,180)",NA,0.00736402442428004,NA
"[180,185)",NA,0.00777045163352,NA
"[185,190)",NA,0.00857301017709088,NA
"[190,195)",NA,0.00789746594422022,NA
"[195,200)",NA,0.00775498937071229,NA
"[200,205)",NA,0.00611217320101935,NA
"[205,210)",NA,0.00583196016660734,NA
"[210,215)",NA,0.00725886285891415,NA
"[215,220)",NA,0.00902857416844718,NA
"[220,225)",NA,0.0081511057317078,NA
"[225,230)",NA,0.00777300330757553,NA
"[230,235)",NA,0.0063445471910333,NA
"[235,240)",NA,0.00669825172786596,NA
"[240,245)",NA,0.0080590314142611,NA
"[245,250)",NA,0.00828540998671875,NA
"[250,255)",NA,0.00696635319864608,NA
"[255,260)",NA,0.00727097881080212,NA
"[260,265)",NA,0.00818985483983709,NA
"[265,270)",NA,0.00906781326721708,NA
"[270,275)",NA,0.0078515166614559,NA
"[275,280)",NA,0.00676615738664755,NA
"[280,285)",NA,0.0063694487895979,NA
"[285,290)",NA,0.00773241293453795,NA
"[290,295)",NA,0.00794314942545561,NA
"[295,300)",NA,0.00724951065894874,NA
"[300,305)",NA,0.00744343967603453,NA
"[305,310)",NA,0.00779097559355058,NA
"[310,315)",NA,0.00749491007745923,NA
"[315,320)",NA,0.0080165911873897,NA
"[320,325)",NA,0.0084934859440978,NA
"[325,330)",NA,0.00744343967603446,NA
"[330,335)",NA,0.00565477508219486,NA
"[335,340)",NA,0.00606875908484067,NA
"[340,345)",NA,0.00734865387021365,NA
"[345,350)",NA,0.00863262095322995,NA
"[350,355)",NA,0.00785151666145595,NA
"[355,360)",NA,0.00608621905744425,NA
"[360,365)",NA,0.00677545788038858,NA
"[365,370)",NA,0.00726616837110202,NA
"[370,375)",NA,0.00832677263226701,NA
"[375,380)",NA,0.00803256774152228,NA
"[380,385)",NA,0.00659961760332943,NA
"[385,390)",NA,0.00749491007745909,NA
"[390,395)",NA,0.00887115674424709,NA
"[395,400)",NA,0.00804996054660282,NA
"[400,405)",NA,0.0067887954088091,NA
"[405,410)",NA,0.00813206837960283,NA
"[410,415)",NA,0.00711411157112433,NA
"[415,420)",NA,0.00682202514925318,NA
"[420,425)",NA,0.00844274622485346,NA
"[425,430)",NA,0.00839024853006575,NA
"[430,440)",NA,0.00750028479750902,NA
"[440,445)",NA,0.00775005288787198,NA
"[445,450)",NA,0.00703419315632369,NA
"[450,455)",NA,0.00773252541826977,NA
"[455,460)",NA,0.00832890325136686,NA
"[460,465)",NA,0.00718999757502752,NA
"[465,470)",NA,0.00718227551581538,NA
"[470,475)",NA,0.00722451227189154,NA
"[475,480)",NA,0.00769147266107506,NA
"[480,485)",NA,0.00826680818658866,NA
"[485,490)",NA,0.0084690579006724,NA
"[490,495)",NA,0.00808983929221453,NA
"[495,500)",NA,0.00734116979048801,NA
"[500,505)",NA,0.00778789374667488,NA
"[505,510)",NA,0.00724639057674736,NA
"[510,515)",NA,0.00819261562024247,NA
"[515,520)",NA,0.0161180088655582,NA
"[520,525)",NA,0.0119246844992669,NA
"[525,530)",NA,0.0231303189561159,NA
"[530,535)",NA,0.00886350589612782,NA
"[535,540)",NA,0.0106100657941215,NA
"[540,545)",NA,0.00924563045425285,NA
"[545,550)",NA,0.00789352217376325,NA
"[550,555)",NA,0.00933811905914828,0.00707106781186544
"[555,560)",NA,NA,0.0116794801429797
"[560,565)",NA,NA,0.0307276447219487
"[565,570)",NA,NA,0.00807865002089513
"[570,575)",NA,NA,0.00948707135212676
"[575,580)",NA,NA,0.00882489591319852
"[580,585)",NA,NA,0.00946798265803464
"[585,590)",NA,NA,0.0096898283727202
"[590,595)",NA,NA,0.0152114598900147
"[595,600)",NA,NA,0.0149444925030486
"[600,605)",NA,NA,0.0147725098268796
"[605,Inf)",NA,NA,0.00999093792292348
