"","1","2","3"
"[0,5)",0.0803540662087746,NA,NA
"[5,10)",0.0515034155173688,0.0490850349835941,NA
"[10,15)",NA,0.101337951286144,NA
"[15,20)",NA,0.0969848473013213,NA
"[20,25)",NA,0.0849920846608538,NA
"[25,30)",NA,0.0274870965986054,NA
"[30,35)",NA,0.0246687690866337,NA
"[35,40)",NA,0.0249923065085113,NA
"[40,45)",NA,0.0261920679469538,NA
"[45,50)",NA,0.0279130351115302,NA
"[50,55)",NA,0.0262980515810704,NA
"[55,60)",NA,0.023664701379087,NA
"[60,65)",NA,0.0219678643631239,NA
"[65,70)",NA,0.0226907865635325,NA
"[70,75)",NA,0.0227208493862797,NA
"[75,80)",NA,0.0239429196896159,NA
"[80,85)",NA,0.0249748856214519,NA
"[85,90)",NA,0.0259579035056716,NA
"[90,95)",NA,0.0269897881755691,NA
"[95,100)",NA,0.025417722283096,NA
"[100,105)",NA,0.0271301868320062,NA
"[105,110)",NA,0.0242735959265917,NA
"[110,115)",NA,0.0243912775150259,NA
"[115,120)",NA,0.0229052282213767,NA
"[120,125)",NA,0.023056770242224,NA
"[125,130)",NA,0.0237213819728943,NA
"[130,135)",NA,0.0288055600442305,NA
"[135,140)",NA,0.0235977360535527,NA
"[140,145)",NA,0.0254271513767672,NA
"[145,150)",NA,0.0264472542839279,NA
"[150,155)",NA,0.0269050292141621,NA
"[155,160)",NA,0.0243426395973011,NA
"[160,165)",NA,0.0275913842830984,NA
"[165,170)",NA,0.0222221250969127,NA
"[170,175)",NA,0.0227258253722761,NA
"[175,180)",NA,0.0231780710161337,NA
"[180,185)",NA,0.0242965248886419,NA
"[185,190)",NA,0.0269420512558735,NA
"[190,195)",NA,0.0253443047964894,NA
"[195,200)",NA,0.0246509431395431,NA
"[200,205)",NA,0.0251229450894661,NA
"[205,210)",NA,0.0244662608400514,NA
"[210,215)",NA,0.0251112405253831,NA
"[215,220)",NA,0.0242365960360067,NA
"[220,225)",NA,0.0277271059006923,NA
"[225,230)",NA,0.025005826826789,NA
"[230,235)",NA,0.0253398430066204,NA
"[235,240)",NA,0.0264976552729019,NA
"[240,245)",NA,0.0246072726083032,NA
"[245,250)",NA,0.0279493381167692,NA
"[250,255)",NA,0.0283872236057598,NA
"[255,260)",NA,0.0263648420269283,NA
"[260,265)",NA,0.0254733567500589,NA
"[265,270)",NA,0.0286046682656038,NA
"[270,275)",NA,0.0175230029086405,NA
"[275,280)",NA,0.028296218663913,NA
"[280,285)",NA,0.0220161940316251,NA
"[285,290)",NA,0.0228075969840418,NA
"[290,295)",NA,0.0147249776257451,NA
"[295,300)",NA,0.0301863652010714,NA
"[300,305)",NA,0.0279504957482597,NA
"[305,310)",NA,0.022949219304078,0.0252578855867572
"[310,315)",NA,NA,0.0261151123955447
"[315,320)",NA,NA,0.0291015423457205
"[320,325)",NA,NA,0.02873875215053
"[325,330)",NA,NA,0.0294334253971948
"[330,335)",NA,NA,NA
"[335,340)",NA,NA,NA
"[340,345)",NA,NA,NA
"[345,350)",NA,NA,NA
"[350,355)",NA,NA,NA
"[355,360)",NA,NA,NA
"[360,365)",NA,NA,NA
"[365,370)",NA,NA,NA
"[370,Inf)",NA,NA,NA
