"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,4448,0,1,0,1,1
"2",1,3970,0,1,0,1,1
"3",2,3170,0,1,0,1,1
"4",3,2370,0,1,0,1,1
"5",4,1570,0,1,0,1,1
"6",5,770,231,0.7,0.0165144564768954,0.668369194064696,0.733127744892099
"7",0,4429,0,1,0,1,1
"8",1,3770,0,1,0,1,1
"9",2,3081,0,1,0,1,1
"10",3,2392,0,1,0,1,1
"11",4,1703,0,1,0,1,1
"12",5,1014,2,0.998027613412229,0.00139331182055893,0.995300505134709,1
"13",6,325,193,0.405352753755121,0.0271942564621639,0.355408509351695,0.462315478255095
"14",0,4397,0,1,0,1,1
"15",1,3777,0,1,0,1,1
"16",2,3088,0,1,0,1,1
"17",3,2399,0,1,0,1,1
"18",4,1710,0,1,0,1,1
"19",5,1021,2,0.998041136141038,0.00138376861652453,0.995332681215119,1
"20",6,333,170,0.488530646219187,0.0273485052311371,0.437764535524769,0.54518393548998
"21",0,4377,0,1,0,1,1
"22",1,3793,0,1,0,1,1
"23",2,3104,0,1,0,1,1
"24",3,2415,0,1,0,1,1
"25",4,1726,0,1,0,1,1
"26",5,1037,0,1,0,1,1
"27",6,348,126,0.637931034482759,0.0257627900233814,0.589383575796152,0.69047734186776
