"","1","2","3"
"[0,5)",0.0746024254667493,NA,NA
"[5,10)",0.0546456511183387,0.02884670054152,NA
"[10,15)",NA,0.0360031874727325,NA
"[15,20)",NA,0.0194893907808821,NA
"[20,25)",NA,0.0227230895305679,NA
"[25,30)",NA,0.0236215535214268,NA
"[30,35)",NA,0.0172731194558974,NA
"[35,40)",NA,0.0171628838519556,NA
"[40,45)",NA,0.0172271865458104,NA
"[45,50)",NA,0.0178424169054709,NA
"[50,55)",NA,0.0153216871904061,NA
"[55,60)",NA,0.0159173052942914,NA
"[60,65)",NA,0.016816268469726,NA
"[65,70)",NA,0.0134015883982294,NA
"[70,75)",NA,0.00772477385737218,NA
"[75,80)",NA,0.0119418031624336,NA
"[80,85)",NA,0.0174572076335435,NA
"[85,90)",NA,0.0167422792904278,NA
"[90,95)",NA,0.0166464358088033,NA
"[95,100)",NA,0.0184906819378619,NA
"[100,105)",NA,0.0190067574983501,NA
"[105,110)",NA,0.0173323142561851,NA
"[110,115)",NA,0.0178227459507238,NA
"[115,120)",NA,0.0190817858937009,NA
"[120,125)",NA,0.0187389311590497,NA
"[125,130)",NA,0.0192328012234018,NA
"[130,135)",NA,0.0172762827412377,NA
"[135,140)",NA,0.0185663861723197,NA
"[140,145)",NA,0.0189592603208186,NA
"[145,150)",NA,0.0187870032297999,NA
"[150,155)",NA,0.0210217165879956,NA
"[155,160)",NA,0.0171628838519557,NA
"[160,165)",NA,0.0114758001494901,NA
"[165,170)",NA,0.017773495328091,NA
"[170,175)",NA,0.0177843794664155,NA
"[175,180)",NA,0.0184606299136536,NA
"[180,185)",NA,0.0177289858675195,NA
"[185,190)",NA,0.0193116493673066,NA
"[190,195)",NA,0.0178778490411681,NA
"[195,200)",NA,0.0181009572191678,NA
"[200,205)",NA,0.0190727683308763,NA
"[205,210)",NA,0.0187807803070623,NA
"[210,215)",NA,0.0187884396499782,NA
"[215,220)",NA,0.0143044462644996,NA
"[220,225)",NA,0.0199137484429521,NA
"[225,230)",NA,0.00839902028741614,NA
"[230,235)",NA,0.0195886662893249,NA
"[235,240)",NA,0.0190342519404261,NA
"[240,245)",NA,0.0193119346434305,NA
"[245,250)",NA,0.019052666248448,NA
"[250,255)",NA,0.0190956751319027,NA
"[255,260)",NA,0.00692280217450987,NA
"[260,265)",NA,0.00696988055655741,NA
"[265,270)",NA,0.0122175870400038,NA
"[270,275)",NA,0.0429836669959101,NA
"[275,280)",NA,0.0411381047045089,NA
"[280,285)",NA,0.0537287132628346,0.0552679423766207
"[285,290)",NA,NA,0.0248007842865372
"[290,295)",NA,NA,0.0172081439609051
"[295,300)",NA,NA,0.0339301720464585
"[300,305)",NA,NA,0.0173646207745752
"[305,310)",NA,NA,0.0217444914996559
"[310,315)",NA,NA,0.0426975048811626
"[315,Inf)",NA,NA,NA
