"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,5596,0,1,0,1,1
"2",1,5244,0,1,0,1,1
"3",2,4892,0,1,0,1,1
"4",3,4540,0,1,0,1,1
"5",4,4188,0,1,0,1,1
"6",5,3836,0,1,0,1,1
"7",6,3484,0,1,0,1,1
"8",7,3131,0,1,0,1,1
"9",8,2779,0,1,0,1,1
"10",9,2427,54,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"11",10,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"12",11,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"13",12,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"14",13,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"15",14,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"16",15,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"17",16,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"18",17,2323,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"19",18,2112,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"20",19,1760,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"21",20,1408,0,0.977750309023486,0.00299392615657973,0.971899894831449,0.98363594016163
"22",0,5583,0,1,0,1,1
"23",1,5231,0,1,0,1,1
"24",2,4878,0,1,0,1,1
"25",3,4526,0,1,0,1,1
"26",4,4174,0,1,0,1,1
"27",5,3822,0,1,0,1,1
"28",6,3470,0,1,0,1,1
"29",7,3118,0,1,0,1,1
"30",8,2766,0,1,0,1,1
"31",9,2414,42,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"32",10,2298,0,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"33",11,2298,0,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"34",12,2298,0,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"35",13,2298,0,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"36",14,2298,0,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"37",15,2298,0,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"38",16,2298,0,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"39",17,2298,0,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"40",18,2112,0,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"41",19,1760,0,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"42",20,1408,0,0.982601491300746,0.00266119126279129,0.977399471149696,0.987831198200612
"43",0,5568,0,1,0,1,1
"44",1,5216,0,1,0,1,1
"45",2,4864,0,1,0,1,1
"46",3,4512,0,1,0,1,1
"47",4,4160,0,1,0,1,1
"48",5,3808,0,1,0,1,1
"49",6,3456,0,1,0,1,1
"50",7,3104,0,1,0,1,1
"51",8,2752,0,1,0,1,1
"52",9,2400,53,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"53",10,2263,0,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"54",11,2263,0,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"55",12,2263,0,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"56",13,2263,0,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"57",14,2263,0,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"58",15,2263,0,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"59",16,2263,0,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"60",17,2263,0,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"61",18,2113,0,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"62",19,1761,0,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"63",20,1409,0,0.977916666666667,0.00299969857667832,0.972055003505477,0.983813676690834
"64",0,5559,0,1,0,1,1
"65",1,5207,0,1,0,1,1
"66",2,4855,0,1,0,1,1
"67",3,4503,0,1,0,1,1
"68",4,4151,0,1,0,1,1
"69",5,3799,0,1,0,1,1
"70",6,3447,0,1,0,1,1
"71",7,3095,0,1,0,1,1
"72",8,2742,0,1,0,1,1
"73",9,2390,35,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
"74",10,2233,0,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
"75",11,2233,0,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
"76",12,2233,0,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
"77",13,2233,0,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
"78",14,2233,0,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
"79",15,2233,0,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
"80",16,2233,0,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
"81",17,2233,0,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
"82",18,2112,0,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
"83",19,1760,0,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
"84",20,1408,0,0.985355648535565,0.00245715541513986,0.980551462236493,0.99018337282003
