"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,838,0,1,0,1,1
"2",1,517,0,1,0,1,1
"3",2,157,27,0.828025477707006,0.0301164709336501,0.771053090658323,0.889207500804557
"4",0,849,0,1,0,1,1
"5",1,561,0,1,0,1,1
"6",2,201,23,0.885572139303483,0.0224532821114597,0.842640082575657,0.930691561115161
"7",0,847,0,1,0,1,1
"8",1,592,0,1,0,1,1
"9",2,232,19,0.918103448275862,0.0180025748325824,0.883488468964064,0.954074638602119
"10",0,846,0,1,0,1,1
"11",1,624,0,1,0,1,1
"12",2,264,22,0.916666666666667,0.0170103454359943,0.883926009072019,0.95062003963424
